id,user_id,amount,type,date_time,category,icon_url
363329,101,50000,credit,2020-02-09 18:34:02,car,https://api.kliqr.com/images/icons/tags/car.png
1139643,101,50,debit,2020-02-11 19:35:08,dstv,https://api.kliqr.com/images/icons/tags/dstv.png
1478935,101,902.5,debit,2020-02-15 7:44:00,uber,https://api.kliqr.com/images/icons/tags/uber.png
1729481,101,7500,debit,2020-02-16 19:26:44,fuel,https://api.kliqr.com/images/icons/tags/fuel.png
1142834,101,5650,debit,2020-02-20 11:41:53,gotv,https://api.kliqr.com/images/icons/tags/gotv.png
1276885,101,5000,debit,2020-02-21 4:35:01,data,https://api.kliqr.com/images/icons/tags/data.png
24654,101,10000,debit,2020-02-24 8:35:22,supermarket & store,https://api.kliqr.com/images/icons/tags/supermarket-and-store.png
883959,101,30000,debit,2020-02-25 13:12:04,bank charges,https://api.kliqr.com/images/icons/tags/bank-charges.png
564229,101,10000,debit,2020-02-25 17:15:48,food stuff,https://api.kliqr.com/images/icons/tags/food-stuff.png
977523,101,5000,credit,2020-02-27 14:12:50,family,https://api.kliqr.com/images/icons/tags/family.png
1264034,101,20000,credit,2020-03-01 19:28:15,interest,https://api.kliqr.com/images/icons/tags/interest.png
480720,101,10000,debit,2020-03-05 22:28:22,loan,https://api.kliqr.com/images/icons/tags/loan.png
41631,101,52.5,debit,2020-03-08 15:47:58,work,https://api.kliqr.com/images/icons/tags/work.png
1282968,101,2000,debit,2020-03-12 15:30:40,salary,https://api.kliqr.com/images/icons/tags/salary.png
1456585,101,2136,debit,2020-03-13 13:58:21,fitness,https://api.kliqr.com/images/icons/tags/fitness.png
1221358,101,13000,debit,2020-03-16 7:07:29,lounge & bar,https://api.kliqr.com/images/icons/tags/lounge-and-bar.png
2619007,101,500,debit,2020-03-18 23:55:25,home,https://api.kliqr.com/images/icons/tags/home.png
987500,101,10,debit,2020-03-24 6:37:57,generator,https://api.kliqr.com/images/icons/tags/generator.png
10646,101,100,debit,2020-03-25 5:27:01,shoes,https://api.kliqr.com/images/icons/tags/shoes.png
1684928,101,18600,credit,2020-03-27 9:29:47,restaurant & fast food,https://api.kliqr.com/images/icons/tags/restaurant-and-fastfood.png
2021066,101,5000,debit,2020-04-01 7:57:00,cash withdrawal,https://api.kliqr.com/images/icons/tags/cash-withdrawal.png
1458983,101,250,credit,2020-04-01 21:23:57,medication & drugs,https://api.kliqr.com/images/icons/tags/medication.png
1231640,101,15000,debit,2020-04-02 4:50:34,gadgets & electronics,https://api.kliqr.com/images/icons/tags/gadgets.png
43687,101,14700,debit,2020-04-04 5:01:25,dry cleaning,https://api.kliqr.com/images/icons/tags/laundry.png
14456,101,52.5,debit,2020-04-05 6:17:35,personal care,https://api.kliqr.com/images/icons/tags/personal-care.png
1994654,101,1600,debit,2020-04-05 18:34:26,taxi,https://api.kliqr.com/images/icons/tags/taxi.png
2412350,101,70000,debit,2020-04-07 5:43:16,friends & family,https://api.kliqr.com/images/icons/tags/friends.png
